X,CH1,CH2,,
Sequence,Volt,Volt,,
453,-1.84E+00,-2.20E+00,,
454,-1.92E+00,-2.08E+00,,
455,-1.80E+00,-2.24E+00,,
456,-1.88E+00,-2.12E+00,,
457,-1.76E+00,-2.24E+00,,
458,-1.84E+00,-2.28E+00,,
459,-1.68E+00,-2.16E+00,,
460,-1.80E+00,-2.28E+00,,
461,-1.64E+00,-2.16E+00,,
462,-1.76E+00,-2.20E+00,,
463,-1.60E+00,-2.32E+00,,
464,-1.68E+00,-2.24E+00,,
465,-1.56E+00,-2.36E+00,,
466,-1.64E+00,-2.36E+00,,
467,-1.52E+00,-2.24E+00,,
468,-1.60E+00,-2.32E+00,,
469,-1.48E+00,-2.40E+00,,
470,-1.56E+00,-2.40E+00,,
471,-1.40E+00,-2.28E+00,,
472,-1.48E+00,-2.32E+00,,
473,-1.36E+00,-2.44E+00,,
474,-1.44E+00,-2.44E+00,,
475,-1.28E+00,-2.32E+00,,
476,-1.36E+00,-2.44E+00,,
477,-1.24E+00,-2.40E+00,,
478,-1.32E+00,-2.48E+00,,
479,-1.16E+00,-2.36E+00,,
480,-1.24E+00,-2.48E+00,,
481,-1.12E+00,-2.36E+00,,
482,-1.20E+00,-2.48E+00,,
483,-1.08E+00,-2.44E+00,,
484,-1.16E+00,-2.40E+00,,
485,-1.00E+00,-2.52E+00,,
486,-1.08E+00,-2.52E+00,,
487,-9.60E-01,-2.40E+00,,
488,-1.04E+00,-2.52E+00,,
489,-9.20E-01,-2.40E+00,,
490,-1.00E+00,-2.52E+00,,
491,-8.40E-01,-2.40E+00,,
492,-9.20E-01,-2.52E+00,,
493,-8.00E-01,-2.44E+00,,
494,-8.80E-01,-2.52E+00,,
495,-7.20E-01,-2.44E+00,,
496,-8.40E-01,-2.52E+00,,
497,-6.80E-01,-2.48E+00,,
498,-7.60E-01,-2.52E+00,,
499,-6.00E-01,-2.44E+00,,
500,-7.20E-01,-2.52E+00,,
501,-5.60E-01,-2.44E+00,,
502,-6.40E-01,-2.52E+00,,
503,-5.20E-01,-2.40E+00,,
504,-6.00E-01,-2.52E+00,,
505,-4.40E-01,-2.40E+00,,
506,-5.20E-01,-2.52E+00,,
507,-4.00E-01,-2.40E+00,,
508,-4.80E-01,-2.48E+00,,
509,-3.20E-01,-2.40E+00,,
510,-4.00E-01,-2.48E+00,,
511,-2.80E-01,-2.36E+00,,
512,-3.60E-01,-2.48E+00,,
513,-2.00E-01,-2.36E+00,,
514,-2.80E-01,-2.48E+00,,
515,-1.60E-01,-2.36E+00,,
516,-2.00E-01,-2.44E+00,,
517,-8.00E-02,-2.36E+00,,
518,-1.20E-01,-2.44E+00,,
519,-4.00E-02,-2.32E+00,,
520,-8.00E-02,-2.40E+00,,
521,8.00E-02,-2.28E+00,,
522,0.00E+00,-2.40E+00,,
523,8.00E-02,-2.28E+00,,
524,8.00E-02,-2.36E+00,,
525,2.00E-01,-2.24E+00,,
526,1.20E-01,-2.24E+00,,
527,2.40E-01,-2.36E+00,,
528,1.60E-01,-2.32E+00,,
529,3.20E-01,-2.20E+00,,
530,2.40E-01,-2.32E+00,,
531,3.60E-01,-2.20E+00,,
532,2.80E-01,-2.28E+00,,
533,4.40E-01,-2.16E+00,,
534,3.60E-01,-2.28E+00,,
535,5.20E-01,-2.12E+00,,
536,4.40E-01,-2.24E+00,,
537,5.60E-01,-2.12E+00,,
538,4.80E-01,-2.20E+00,,
539,6.00E-01,-2.08E+00,,
540,5.60E-01,-2.16E+00,,
541,6.80E-01,-2.04E+00,,
542,6.00E-01,-2.12E+00,,
543,7.20E-01,-2.00E+00,,
544,6.80E-01,-2.08E+00,,
545,8.00E-01,-1.96E+00,,
546,7.20E-01,-2.08E+00,,
547,8.40E-01,-1.96E+00,,
548,7.60E-01,-2.04E+00,,
549,9.20E-01,-1.88E+00,,
550,8.40E-01,-2.00E+00,,
551,9.60E-01,-1.84E+00,,
552,8.80E-01,-1.96E+00,,
553,1.04E+00,-1.84E+00,,
554,9.60E-01,-1.92E+00,,
555,1.08E+00,-1.80E+00,,
556,1.00E+00,-1.88E+00,,
557,1.12E+00,-1.76E+00,,
558,1.08E+00,-1.84E+00,,
559,1.20E+00,-1.68E+00,,
560,1.16E+00,-1.80E+00,,
561,1.28E+00,-1.64E+00,,
562,1.20E+00,-1.76E+00,,
563,1.32E+00,-1.60E+00,,
564,1.24E+00,-1.68E+00,,
565,1.36E+00,-1.56E+00,,
566,1.32E+00,-1.64E+00,,
567,1.44E+00,-1.52E+00,,
568,1.36E+00,-1.60E+00,,
569,1.48E+00,-1.48E+00,,
570,1.40E+00,-1.56E+00,,
571,1.56E+00,-1.40E+00,,
572,1.48E+00,-1.48E+00,,
573,1.60E+00,-1.36E+00,,
574,1.52E+00,-1.44E+00,,
575,1.64E+00,-1.28E+00,,
576,1.56E+00,-1.36E+00,,
577,1.68E+00,-1.24E+00,,
578,1.60E+00,-1.32E+00,,
579,1.72E+00,-1.16E+00,,
580,1.64E+00,-1.24E+00,,
581,1.76E+00,-1.12E+00,,
582,1.68E+00,-1.20E+00,,
583,1.80E+00,-1.08E+00,,
584,1.72E+00,-1.16E+00,,
585,1.88E+00,-1.00E+00,,
586,1.76E+00,-1.08E+00,,
587,1.88E+00,-9.60E-01,,
588,1.80E+00,-1.04E+00,,
589,1.96E+00,-9.20E-01,,
590,1.84E+00,-1.00E+00,,
591,1.96E+00,-8.40E-01,,
592,1.88E+00,-9.20E-01,,
593,2.00E+00,-8.00E-01,,
